Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Active
Hendrick Honda Hickory,https://www.hendrickhondahickory.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Honda of Charleston,https://www.charlestonhonda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Honda of Concord,https://www.hondaofconcord.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Honda South Blvd,https://www.hendrickhonda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick KIA of Cary,https://www.hendrickkia.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Kia of Concord,https://www.hendrickkiaofconcord.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick MINI Charlotte,https://www.hendrickmini.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Subaru Hoover,https://www.hendricksubaruhoover.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Subaru Southpoint,https://www.subarusouthpoint.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Toyota Apex,https://www.hendricktoyotaapex.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Toyota Concord,https://www.hendricktoyotaconcord.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Toyota Merriam,https://www.hendricktoyotamerriam.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Toyota North Charleston,https://www.hendricktoyotanorthcharleston.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Volkswagen Frisco,https://www.hendrickvwfrisco.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Volkswagen of Concord,https://www.hendrickvwofconcord.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Volvo Cars of Charleston,https://www.hendrickvolvocars.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Honda Cars of Aiken,https://www.hondacarsofaiken.com/,,,STD,PASS,Found via HTTP: idrove.it/behaviour.js,Yes
Honda Cars of McKinney,https://www.hondacarsofmckinney.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Honda Cars of Rock Hill,https://www.hondacarsrockhill.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Honda Indian Trail,https://www.hondaofindiantrail.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (2/3),Yes
Honda of Bridgewater,https://www.hondabridgewater.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Honda of Huntersville,https://www.hondahuntersville.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Honda of Newnan,https://www.hondaofnewnan.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hoover Chrysler Dodge Jeep Ram Summerville,https://www.hooverjeepchrysler.net/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Hyundai of Asheville,https://www.hyundaiofasheville.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Independence Mazda,https://www.independencemazda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Jackie Cooper Infiniti,https://jackiecooperinfiniti.com/,,,SPA,PASS,Perfect (Rule of 4),Yes
Jackie Cooper Mercedes,https://jackiecoopermercedes.com/,,,SPA,PASS,Perfect (Rule of 4),Yes
Jackie Cooper Nissan,https://jackiecoopernissan.com/,,,SPA,PASS,Perfect (Rule of 4),Yes
Jacksonville Chrysler Dodge Jeep Ram,https://www.jaxcjdr.com/,,,STD,PASS,Perfect (Dealer.com Rule of 1),Yes
Jeff Gordon Chevrolet,https://www.jeffgordonchevy.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (2/3),Yes
Joe Cooper Chevrolet,https://joecooperchevroletcadillacgmc.com/,,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Dodge Jeep Shawnee,https://joecooperdodgejeep.com/,,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Dodge of Yukon,https://joecooperdodgeyukon.com/,,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Ford Edmond,https://joecooperfordedmond.com/,,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Ford of Yukon,https://joecooperfordyukon.com/,,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Ford Shawnee,https://joecooperfordshawnee.com/,,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Hyundai of Midwest City,https://joecooperhyundai.com/,,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Lincoln of Edmond,https://joecooperlincoln.com/,,,SPA,WARN,Found 6 (Expected 4) (Saved Img),Yes
JT's Chrysler Dodge Jeep Ram of Lexington,https://www.jtschryslerdodgejeepram.com/,,,STD,PASS,Perfect (Rule of 2),Yes
JT's Dodgeland of Columbia,https://jtscdjrofcolumbia.com/,,,STD,PASS,Perfect (Rule of 2),Yes
JT's Kia of Columbia,https://www.jtskia.com/,,,STD,PASS,Perfect (Rule of 2),Yes
JT's Kia of Columbia - Greystone,https://www.kiacolumbia.com/,,,STD,PASS,Perfect (Rule of 2),Yes
JTs Kia of Rock Hill,https://www.jtskiarockhill.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Keffer Mazda,https://www.keffermazda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Keith Hawthorne Hyundai of Gastonia,https://www.hyundaiofgastonia.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Kelly Honda,https://www.kelly-honda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Kelly Infiniti,https://www.kellyinfiniti.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Kelly Nissan of Lynnfield,https://www.kellynissanoflynnfield.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Kelly Nissan of Woburn,https://www.kellynissanofwoburn.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Kelly Volkswagen,https://www.kelly-vw.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Kimberly Eakin Kia,https://www.kimberlyeakinkia.com/,,,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,Yes
Lake Norman Chrysler Dodge Jeep Ram,https://www.lakenormanchrysler.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Lake Norman Hyundai,https://www.lakenormanhyundai.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Lilliston Chrysler Dodge Jeep Ram,https://www.lillistonchryslerdodgejeep.com/,,,STD,PASS,Perfect (Dealer.com Rule of 1),Yes
Lilliston Ford,https://www.lillistonford.com/,,,STD,PASS,Perfect (Dealer.com Rule of 1),Yes
